rank,name,id,bubble,reviewCount,priceRange,claimed,travelers,photos,thefork,justeat,cuisines,diets,meals,features,neigh,excellent,verygood,average,poor,terrible,revEnglish,revSpanish
1,Desoriente,d24121270,5.0,453,,True,False,537,False,False,"Asian, Japanese Fusion",,"Lunch, Dinner",,0.8 miles from Torre Agbar,104,5,0,0,0,109,299
2,Vrutal,d21262074,5.0,1136,$$ - $$$,True,True,611,False,False,"Bar, Healthy, Pub","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Late Night, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Dog Friendly",Poblenou,279,5,4,4,1,293,670
3,La Gastronomica Burgers,d12702677,5.0,1799,$$ - $$$,True,True,1274,False,False,Street Food,,,,Eixample,534,29,10,3,2,578,708
4,Le Romane,d15589100,5.0,4356,$$ - $$$,True,True,1679,True,False,"Italian, Pizza, Mediterranean, European, Healthy, Romana, Lazio, Central-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Eixample,1120,56,14,4,9,1203,2136
5,BelleBuon,d4049034,5.0,3547,$$ - $$$,True,True,2199,False,False,"Italian, Neapolitan, Campania, Sicilian, Southern-Italian",Gluten Free Options,,,El Baix Guinardo,516,48,15,18,3,600,1856
6,Blu Bar,d13423033,5.0,1793,$$ - $$$,True,False,868,False,True,"Bar, Mediterranean, Spanish, Healthy, International, Street Food","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Poblenou,657,32,5,7,1,702,834
7,Zenith Brunch & Cocktails,d23531482,5.0,2131,$$ - $$$,True,False,1442,False,False,"Cafe, International, Healthy",,"Breakfast, Lunch, Dinner, Brunch",,Eixample,1297,74,9,8,9,1397,280
8,"We love italy, Pasta & Pizza, Restaurante Barcelona",d14200680,5.0,377,$$ - $$$,False,True,194,True,False,"Italian, Pizza, Healthy, Street Food",Vegetarian Friendly,,,Eixample,94,3,1,0,0,98,136
9,Faire Brunch & Drinks,d23425368,5.0,181,$$ - $$$,True,True,229,False,False,International,,"Brunch, Breakfast, Lunch, Drinks",,Eixample,107,1,0,1,1,110,33
10,La Gastronomica Platillos,d20300429,5.0,661,$$ - $$$,True,True,588,False,False,"Mediterranean, Spanish, Catalan",,"Lunch, Dinner",,Eixample,174,5,0,0,0,179,316
11,Xera Restaurant,d25012128,5.0,186,$$$$,True,False,153,True,False,"Spanish, Catalan, Seafood, Healthy",,"Dinner, Drinks",,0.1 miles from Plaza de Catalunya,65,3,1,0,0,69,75
12,La Patsa Lab,d19658890,5.0,3097,$$ - $$$,True,False,1602,False,False,"Italian, Mediterranean, European, Northern-Italian, Southern-Italian",Vegetarian Friendly,,,Eixample,941,43,13,7,4,1008,1432
13,Off-Street,d23964651,5.0,246,,True,False,204,False,True,"Italian, Pizza, Southern-Italian",,"Lunch, Dinner",,0.6 miles from Recinte Modernista de Sant Pau,20,0,0,0,0,20,189
14,"Tino, esto no es una pizzeria",d21390482,5.0,253,$,True,True,208,False,True,"Italian, Pizza, Street Food",,"Lunch, Dinner, Brunch, Late Night, Drinks",,Eixample,32,1,0,0,0,33,137
15,Bella Italia,d4022240,5.0,1706,$,True,True,1001,False,False,"Italian, Pizza","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Drinks",,Eixample,361,23,10,4,2,400,749
16,Lato Brunch,d20992779,5.0,220,$$ - $$$,True,True,159,False,False,"Latin, South American, Cafe, Seafood, Ecuadorean",Vegetarian Friendly,,,0.3 miles from Casa Mila - La Pedrera,129,0,0,1,0,130,51
